"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"102466751",0,NA,NA,NA,NA,NA
"100302278",0,NA,NA,NA,NA,NA
"645520",0.0148525158829326,-0.0648543552231597,3.64454127620559,-0.0177949295420468,0.985802449760015,NA
"79501",0.00606762168001735,-0.179079530843581,3.64459007056356,-0.0491357127623107,0.960811143099223,NA
"729759",0,NA,NA,NA,NA,NA
"101928626",0.5125717070924,-0.09134267812334,0.607950429827329,-0.150246917580572,0.880569811105113,NA
"81399",0,NA,NA,NA,NA,NA
"400728",3.44773611076349,-0.074393337374506,0.213527538281439,-0.348401606524645,0.727538596185263,0.91162586312311
"643837",139.568851957168,0.121179817108262,0.0982363003888081,1.23355436461518,0.217369007010647,0.577759036697854
"284593",0.0775359525039119,0.433649269104642,2.17109118336157,0.199737934743583,0.841685543898496,NA
"100130417",575.437678537267,-0.519469169792575,0.203666086282176,-2.55059239009906,0.0107540016467094,0.148906570806547
"148398",2754.76596312126,-0.57654467346668,0.158515188586086,-3.63715728826561,0.000275663609989386,0.020363605007625
"26155",763.580975591681,0.0350428049905662,0.0829263318610192,0.42257753603881,0.672603519218385,0.888216004514314
"339451",355.072725846856,-0.275662500844527,0.113746524740869,-2.42348064235393,0.015372572520719,0.178350850878013
"84069",21.2760848842009,-0.496125233977889,0.202426669449958,-2.45088868638693,0.0142504014574374,0.172735553485884
"84808",27.7179533025909,0.308251755331255,0.18799440462607,1.63968579780011,0.101070513391633,0.417381142290646
"57801",982.361268351295,0.0791077157777674,0.180358626963464,0.438613428753772,0.660941665034592,0.882783435265339
"9636",1104.18676056576,-0.906855213262399,0.26293893854888,-3.44891942694831,0.000562834618535168,0.0306603372365163
"375790",1765.1062423969,0.342481807405781,0.146986939985694,2.33001522066596,0.0198053466751764,0.198616837303823
"401934",0.634414155947751,-1.54503742069003,1.54355827405093,-1.00095827068143,0.316846983158268,NA
"54991",320.043473160787,0.0260125096718514,0.0933581116289833,0.278631489197514,0.780527644455055,0.931336974339129
"254099",0.399367825876531,-0.776969291804589,0.620060240067577,-1.25305452857276,0.21018586283313,NA
"406984",0.0795847203754246,-0.0594214135135116,3.6444799411393,-0.0163044973420641,0.986991469658988,NA
"406983",0.0235651442719685,-0.206558998915798,3.64459007056356,-0.0566755094308474,0.954803683292592,NA
"554210",0.0235651442719685,-0.206558998915798,3.64459007056356,-0.0566755094308474,0.954803683292592,NA
"100506376",0.340845702138814,-0.318469445812128,0.973858034863029,-0.327018348066431,0.743654007761812,NA
"254173",2.46882515894215,-0.661213380837135,0.407397210614911,-1.62301892013233,0.10458536037817,0.423950051568296
"8784",51.0894000164093,-0.340312387956294,0.209758817413034,-1.62239848676391,0.104718052970965,0.424223404453626
"7293",60.6537116007482,0.0479851580650978,0.161100272710426,0.297858949943245,0.765810819789372,0.925824090750968
"51150",4635.2012416609,-0.0268032460516752,0.0658603887187994,-0.406970662838259,0.684029535378889,0.89395520106668
"126792",535.977451237063,0.0456248629228519,0.0761930631393468,0.598805994180996,0.549302264645798,0.828388896924029
"388581",27.6971886628755,0.119292382899847,0.163395758663465,0.730082493423502,0.465339761617369,0.779175412643766
"118424",1065.5979841438,-0.0156836867393268,0.0655350290013624,-0.23931761347051,0.810859308597858,0.943350130422683
"6339",337.572984508617,0.143846881656573,0.138431677702453,1.03911824261611,0.298749747699058,0.653977288923732
"116983",1745.06719576754,0.101641805882334,0.117673181408255,0.863763558237612,0.387717790525713,0.724190436819505
"102465434",0.0132544062237032,-0.0648543552231597,3.64454127620559,-0.0177949295420468,0.985802449760015,NA
"126789",228.242796357514,-0.140394434378263,0.0885508082157968,-1.58546756610198,0.112860140405326,0.440134404488265
"54973",1944.95671396447,-0.0844522234923288,0.0581163543536873,-1.45315762544852,0.146179994393726,0.487733490276551
"102465435",0.492574312544605,0.420162683709423,0.454139289790155,0.925184614402264,0.354869885180998,NA
"80772",495.972098311211,-0.0533620275260725,0.0805045911840961,-0.662844525277389,0.507430133828809,0.8050030480704
"83756",26.995279765954,0.439300246704516,0.21633707287224,2.03062859671744,0.0422926845638741,0.281217063435218
"1855",1744.21319428331,0.0838996747210555,0.0688053688307618,1.21937686181758,0.222701187852976,0.582548044833504
"102466740",0.0803732812962085,-0.0473560664844913,1.95264926166658,-0.0242522133463299,0.980651430131836,NA
"54587",6873.56234448912,0.0718783296539012,0.131195298712941,0.547872754275845,0.583779278041128,0.847884879583883
"54998",1964.58360307623,-0.119863097916138,0.0890049335179678,-1.3467017296512,0.178076315000478,0.529558446956284
