"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"102466751",0,NA,NA,NA,NA,NA
"100302278",0,NA,NA,NA,NA,NA
"645520",0.0351586576263635,-0.426289900286691,3.13333765418309,-0.13604978056469,0.891781927583284,NA
"79501",0,NA,NA,NA,NA,NA
"729759",0,NA,NA,NA,NA,NA
"101928626",0.705716098467068,0.369449053047281,0.446965505798509,0.826571733734253,0.40847984406548,NA
"81399",0,NA,NA,NA,NA,NA
"400728",3.07793838169008,0.0811447120531592,0.254073159831936,0.319375380330746,0.749441877690655,NA
"643837",290.681382178732,0.173580137182026,0.0909485230398863,1.90855366728607,0.0563196937555977,0.181842601917759
"284593",0.526337459383556,0.974005931873559,0.497745321774053,1.95683593449363,0.0503667607410179,NA
"100130417",167.173692243242,0.193614509093567,0.208333982209043,0.929346749102571,0.352709415126887,0.543304986049875
"148398",4390.20621060817,-0.11105112212841,0.159960813884168,-0.694239541746925,0.487531998783281,0.660690850229459
"26155",878.131147847092,-0.0547925556668032,0.0481261574600357,-1.13851922859836,0.254903734328046,0.445090300740836
"339451",513.344072524301,-0.104696980585593,0.0721010103930763,-1.45208756458212,0.146477259189204,0.315772769873076
"84069",2.03199124419586,0.0877462376998912,0.267381570595889,0.32816860752347,0.742784182219448,NA
"84808",468.36482668279,-0.144169214392286,0.179543052762372,-0.802978517821553,0.421987151191225,0.604412554417516
"57801",716.407474649863,-0.496376490763734,0.189464234400599,-2.61989547702289,0.00879567211209504,0.0673149948672556
"9636",101.574035491006,-0.413518372807753,0.172420955973441,-2.39830692547286,0.0164710573048034,0.0931231447289133
"375790",1158.11158249819,0.12753222779619,0.0855377051904365,1.49094750101443,0.135975278806637,0.302181212028665
"401934",0.407256650007713,0.72973004554449,0.486897612045274,1.49873408185176,0.133942631334297,NA
"54991",474.011955488492,-0.142582305288179,0.0901764666206355,-1.58114761679464,0.113844289398337,0.27269854194934
"254099",0,NA,NA,NA,NA,NA
"406984",0,NA,NA,NA,NA,NA
"406983",0,NA,NA,NA,NA,NA
"554210",0,NA,NA,NA,NA,NA
"100506376",0.0340815113518021,-0.31942434468658,2.81073683025908,-0.11364434451771,0.909519733199928,NA
"254173",0.852034873595997,0.10119273974263,0.413317428170404,0.244830565675808,0.806587626033084,NA
"8784",4.08472880621133,-0.406012682299922,0.373616815509509,-1.08670880283114,0.277165522420908,NA
"7293",4.00979070285763,-0.157692649638614,0.269991140445059,-0.58406601556877,0.559175898161292,NA
"51150",2955.32817676809,-0.114868781634669,0.0633929039738151,-1.81201324492275,0.0699841499876723,0.205170055295113
"126792",566.686932098409,0.0466882196960119,0.0743620240917917,0.627850307549194,0.530102006555238,0.694977375171112
"388581",19.4872903569415,-0.115998532845427,0.213402669740482,-0.543566455782827,0.58673984822043,0.73879471605033
"118424",1223.73408375797,-0.146134822543682,0.0599724117175189,-2.43670078221973,0.0148219383638382,0.0881700520764008
"6339",869.428221579345,-0.107700929892982,0.0927963107358121,-1.16061650553763,0.245797890073761,0.435956996028609
"116983",6975.90711609114,-0.151014793262953,0.069558542844835,-2.17104595764496,0.0299276985450601,0.126431374170428
"102465434",0.209763818518637,-0.677054654388309,0.803263998086373,-0.842879372163157,0.399295911231263,NA
"126789",279.466095723103,-0.189213325713711,0.0937217146377437,-2.01888459302164,0.0434992159407685,0.156624810389093
"54973",2483.75013503165,-0.188925827447852,0.066312021154725,-2.84904341864401,0.00438508956847216,0.0483663757639563
"102465435",1.24788946895578,-0.266232499770948,0.315950566977415,-0.842639727846981,0.399429965220725,NA
"80772",683.564887605492,-0.161001845172661,0.0615132798153298,-2.61735101194421,0.00886151636183939,0.0676831037072809
"83756",60.0134719547012,0.246980862806283,0.102298209851645,2.41432243207832,0.015764504903009,0.0907522763697847
"1855",2967.84077706824,-0.0926597170891951,0.0500704704175915,-1.85058611026432,0.0642291194532125,0.195676771606209
"102466740",0.0992832148953335,-0.547968600040814,1.41496788165755,-0.387265751501654,0.698559477529579,NA
"54587",878.111902688903,0.029050130151384,0.0933263464291599,0.311274696405636,0.755591801779162,0.857567042288003
"54998",2526.78390605373,-0.342852019300324,0.0980500456385986,-3.49670433162303,0.00047104359605229,0.0193099195075013
"81669",2284.57264991182,-0.0256799447427743,0.0766766637280642,-0.334912129638933,0.737691371866884,0.844973450708251
"148413",395.454056282186,-0.0394664284589484,0.074768482896929,-0.527848458732996,0.597604520306067,0.747231922967802
"55052",1369.21734849701,-0.246722228848484,0.0928329656142808,-2.65770060469263,0.00786757517242128,0.0641090903376429
