"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"10218",22.1687038532808,0.917061547836564,0.228204390148503,4.01859730761442,5.85456304676353e-05,0.0123568750909318
"2827",122.563275459071,-0.596546929359264,0.182322011044939,-3.27194136319737,0.00106811726233072,0.0260241381096256
"101929592",1023.57817246409,-0.665622133301092,0.16635196838092,-4.00128799063513,6.29986261375986e-05,0.0123568750909318
"127435",134.184930425324,0.797901134558487,0.207630491895185,3.84288996898048,0.000121593991249817,0.0136303876061356
"343263",131.323612425846,-0.638749863208995,0.176042788613204,-3.62837846549021,0.000285206956269883,0.0167233206008007
"3158",59.3075254440928,-2.81982447083093,0.499671520959791,-5.6433563902431,1.66766636473139e-08,0.000142276955907059
"3310",16.0246069640437,-1.61912318480359,0.399431564958313,-4.05356843786888,5.04422340260688e-05,0.0122956548455259
"641311",6.67871077708024,-1.16623994008312,0.277598675341516,-4.2011725691715,2.65536082330799e-05,0.0107987520722639
"100499171",12.3579494830522,-1.28793548978833,0.415742856730897,-3.09791369577755,0.00194888174851249,0.033420873643084
"100500850",5.96456066028081,-0.646846834803592,0.223761445637481,-2.89078770009181,0.0038427761737349,0.0459126219440977
"104355141",69.0442982571878,-0.660679724640285,0.179727342483954,-3.67601120402296,0.000236909122389718,0.0160866124781413
"1961",18.8868749937209,0.839734714118003,0.294730280588981,2.84916335179372,0.0043834368060164,0.0483663757639563
"105374845",16.1178803095146,0.836306419386781,0.224805825854673,3.72012787572248,0.000199121932924226,0.0158395676233285
"654412",21.3406944465633,-0.743019837672048,0.253287658446678,-2.93350194095014,0.00335161558685472,0.0428130824782264
"646960",444.378622208423,-0.983713712227196,0.345066738264859,-2.85079262398261,0.00436104016812176,0.0482770910906158
"1144",92.9299694036333,-1.40138803707764,0.392783083796382,-3.56784213702065,0.000359933236284044,0.0181244233604809
"5947",853.930901258513,-0.966972666910625,0.290709983980752,-3.32624512467603,0.000880244811259149,0.023727673324668
"619568",7.93402561576167,0.647823961842891,0.17208357270638,3.76458921473143,0.000166823100670113,0.0151409710996497
"9227",438.185985794029,-1.29515589321107,0.373765118621136,-3.46515987898778,0.000529916347333393,0.0199000035087153
"353322",1374.50870491897,-0.80956531833883,0.194373828756586,-4.16499136492623,3.11364349237927e-05,0.0107987520722639
"3303",915.861407839065,-1.01013818424643,0.243166837475521,-4.15409516664918,3.26577245682938e-05,0.0107987520722639
"3304",1530.43630341587,-0.761395415129651,0.206431987304256,-3.68835966301794,0.000225704457392791,0.0159514034013326
"3111",100.688621448163,0.595919330426036,0.150055558267301,3.97132460341454,7.14741133410384e-05,0.0124445183258994
"29881",5.01800247770874,-1.10207931559845,0.282334736298703,-3.9034492533447,9.48314409801915e-05,0.013450076331576
"442319",28.3701097871236,0.710441760413811,0.208858053525517,3.40155310471192,0.000670041090073955,0.0214473398980225
"3315",635.326436200928,-0.63168933775282,0.187029180073083,-3.37749081456693,0.000731503961767374,0.0220682644717558
"9639",7.01790228192346,0.613745520819078,0.199457241552728,3.07707815490283,0.00209040484629438,0.0342308808947419
"83656",29.1673295456416,-0.631340420895811,0.171616940957786,-3.67877680007771,0.000234355250036333,0.0160866124781413
"4856",97.6690136051872,0.791184870574467,0.196771726531983,4.02082598205931,5.79944355616446e-05,0.0123568750909318
"727677",9.39368093864629,-1.10540795252269,0.371506675935269,-2.97547264726758,0.00292537437178589,0.0403253239513926
"27290",653.054390153467,-0.79850308065273,0.170019702838642,-4.69653262134302,2.64614991141612e-06,0.00772318224577963
"5646",16.4344441255137,-0.679734351400169,0.211188501858414,-3.21861439149694,0.00128811580440114,0.028067240213892
"203328",187.789871769122,-0.671958605791105,0.21568965793193,-3.11539557452111,0.00183698378445316,0.0325825928421251
