"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"102465909",10.7272839404795,-1.12747829920413,0.24957977070239,-4.51750675157318,6.25720335243476e-06,0.000506519785891025
"113219467",1645.92722243037,2.00821455768031,0.273206994687719,7.35052394970976,1.97431399547043e-13,1.77943291345859e-10
"79854",62.6333554370219,-1.06267284789521,0.211076767205625,-5.03453251612472,4.79016366779279e-07,5.9258960212856e-05
"100130417",385.160750569959,-2.21967378106283,0.374908151329478,-5.92058020929005,3.20807783324412e-09,8.94762072035723e-07
"107985728",610.821516657958,-1.58186219247753,0.354540350154148,-4.46172682965355,8.13018255236189e-06,0.000628055889782456
"105378948",19.3411345803732,-1.09304456973426,0.248445202353411,-4.39953985579248,1.08480653346583e-05,0.000784949633177633
"101928895",117.494088375432,-1.03492539194476,0.245227305196443,-4.22026980688679,2.44010104555581e-05,0.00149128087804088
"6339",242.752865468223,-1.4948038208705,0.27721175635242,-5.39228148379883,6.95686747352169e-08,1.10588960667174e-05
"81669",2808.31623198462,-1.16233093746446,0.236730416554528,-4.90993491407441,9.11066265180237e-07,0.000103142114449187
"8511",61.0966906374927,-1.25043738126204,0.349364814293045,-3.57917377510485,0.000344682222396247,0.011908615521528
"163688",5.94645975308708,-1.98771146474635,0.532776951079688,-3.7308510826495,0.000190834005188941,0.00745832774419963
"105378593",7.79417096340702,-1.3826580755626,0.393201234862833,-3.51641336031139,0.000437419393779817,0.0141264422542332
"1953",2402.26371361002,-1.19230279653248,0.39122668148902,-3.04760092536262,0.00230676049337987,0.0482094086763585
"102465436",20.3357906155536,-3.41236194365143,0.606918183333838,-5.62244143832883,1.88277401974048e-08,3.80023071879196e-06
"11330",2.84317051997363,-1.58065126771425,0.515985536403592,-3.06336351737948,0.00218864015069367,0.0465010248083669
"11209",111.178247687647,-2.21457309101572,0.264087038548733,-8.38576971889918,5.03949037674464e-17,1.28842970632105e-13
"11223",33.7021476405223,-1.10204971659643,0.260497310421818,-4.23056082541467,2.33109397871755e-05,0.00145363334331723
"55057",6.2548504537868,-1.46501273640929,0.415564894614244,-3.5253524910212,0.000422919636191388,0.0137837240110929
"677774",107.029725690922,1.45818261691621,0.306664820391959,4.75497194315426,1.98473978709115e-06,0.000197700703467391
"692212",12.1143847008947,-1.25032760410737,0.29444054251816,-4.24645190982915,2.17182368541557e-05,0.00138527132367047
"100129196",69.6800953802345,-1.11118967822355,0.224283045433304,-4.95440783799233,7.2550893223366e-07,8.49565421409492e-05
"2170",2632.90068515657,1.45129528091344,0.475983753667176,3.04904373254772,0.00229571059993422,0.0481095636652882
"339483",416.729216094176,-1.00349198393361,0.321955643462072,-3.1168640907884,0.00182785817495907,0.0411737803287404
"79729",1147.19556588196,-1.00189540886831,0.237634299773199,-4.21612288219559,2.48538365068495e-05,0.00150101516541367
"102465438",2.35190218641565,-1.90892677899354,0.619449058405394,-3.08165256382432,0.00205854956115375,0.0445711280323338
"94162",13.646212006288,-1.31752244608334,0.375389835719753,-3.50974459273036,0.000448537312072384,0.0143644308292075
"94163",15.3572813823657,-1.55852969872115,0.338003191112433,-4.61099107849171,4.00753738817656e-06,0.000357416415899002
"107985521",2.79598018244698,-1.69381509436877,0.437322702968992,-3.8731469527409,0.000107439000448422,0.00478407624638256
"653505",8.32594456112748,-1.50254073165156,0.269798913527302,-5.56911335189461,2.56038884578418e-08,4.87905153966823e-06
"101954266",187.068909525308,-1.64579050680442,0.462232115611644,-3.5605282524055,0.000370109485574122,0.0124752791307673
"102466225",3.39809114579509,-2.29168584834276,0.575441328452373,-3.98248393890331,6.81987348878668e-05,0.00333706090328509
"100189385",4.90907844927858,1.42466825171721,0.372029112649299,3.82945367251462,0.000128428056608964,0.00546487208982389
"100189017",2.85262010770044,1.47009134658445,0.38238879972281,3.84449373948743,0.000120801568860049,0.00522735138593272
"3311",253.325666438021,-1.92115912681817,0.595950394039,-3.22368966617791,0.00126550462516563,0.0312354641191324
"2153",231.749141341131,1.33431994687915,0.371103543180894,3.59554623338299,0.00032371162908166,0.0113243703309297
"26802",29.516553546345,-1.03087062271438,0.249939104961403,-4.1244871340704,3.71561760412426e-05,0.00210711918843867
"692196",26.3602596972301,-1.07295376129886,0.34568930550694,-3.10380953129405,0.00191046278080481,0.0424117207779244
"105372902",39.2705409189531,-1.1047995028946,0.335765087035804,-3.29039422367575,0.0010004710859162,0.0262570170367059
